Designator,X,Y,Angle
U81,159.0,117.0,175.0
U99,165.27999999999997,74.27999999999997,70.0
U15,60.910000000000025,159.7,-110.0
U130,155.14999999999998,97.72999999999999,-40.0
U80,155.95749999999998,117.2525,180.0
U121,138.67000000000002,81.19,-175.0
U169,59.19,68.88,95.0
U180,60.10000000000002,36.099999999999966,35.0
U122,141.75,81.52999999999997,-175.0
U151,91.57999999999998,93.08999999999997,22.0
U197,21.087500000000006,57.777499999999975,-92.0
U213,39.20233999999999,105.81,-110.0
U193,22.900000000000006,45.599999999999966,-62.0
U89,178.89999999999998,103.69999999999999,90.0
U43,48.125,108.0,80.0
U140,124.89999999999998,99.79999999999998,0.0
U84,167.89999999999998,114.69999999999999,155.0
U20,73.13999999999999,168.36999999999998,160.0
U147,103.76999999999998,96.92999999999998,15.0
U16,62.120586,162.74221599999998,-110.0
U163,57.508831999999984,86.88,70.0
U102,161.24,65.05000000000001,70.0
U131,152.10000000000002,99.19,-15.0
U74,137.88,116.70999999999998,-170.0
U5,49.19999999999999,129.5,-110.0
U14,59.89999999999998,156.79999999999998,-110.0
U186,42.099999999999994,34.0,-3.0
U204,27.80000000000001,78.89999999999998,-110.0
U119,132.52999999999997,80.43,-170.0
U17,63.60317500000002,165.73999999999998,-122.0
U188,36.099999999999994,35.19999999999999,-18.0
U59,93.33999999999997,107.42999999999998,165.0
U212,38.012339999999995,102.82,-110.0
U39,57.879999999999995,114.94999999999999,20.0
U6,50.5,132.5,-110.0
U69,122.936218,109.667181,-150.0
U83,165.02749999999997,115.85249999999999,160.0
U196,21.037732000000005,54.65909099999999,-87.0
U46,54.17952600000001,101.58020599999998,-172.0
U13,58.808831999999995,153.64999999999998,-110.0
U179,62.30000000000001,38.599999999999966,65.0
U86,173.3,111.39999999999998,142.0
U174,61.69999999999999,53.80000000000001,96.0
U194,21.808433000000008,48.716796999999985,-75.0
U182,54.102664000000004,34.138990999999976,5.0
U58,90.30000000000001,108.0,172.5
U142,118.94999999999999,99.6,5.0
U201,24.099999999999994,69.82,-110.0
U92,177.48000000000002,94.85,70.0
U189,32.931400999999994,36.512339999999995,-25.0
U123,144.86,82.09999999999997,-167.0
U167,58.02405299999998,74.79293899999999,95.0
U55,80.94749999999999,108.1925,180.0
U3,46.69999999999999,123.39999999999998,-110.0
U101,162.62,68.05000000000001,70.0
U162,59.593781999999976,89.30000000000001,30.0
U148,100.75999999999999,96.1,15.0
U88,177.89999999999998,106.79999999999998,120.0
U95,171.73000000000002,86.22999999999996,60.0
